Names,ID's
Jordan Kyrou,8479385
Jordan Martinook,8476921
Jordan Oesterle,8477851
Jordan Staal,8473533
Jordan Weal,8475738
Jordie Benn,8474818
Josef Korenar,8480373
Joseph Blandisi,8477010
Joseph Cecconi,8478863
Joseph Duszak,8481432
Joseph Gambardella,8479970
Joseph Woll,8479361
Josh Anderson,8476981
Josh Archibald,8476326
Josh Bailey,8474573
Josh Brook,8479990
Josh Brown,8477384
Josh Currie,8477680
Josh Leivo,8476410
Josh Mahura,8479372
Josh Maniscalco,8482439
Josh Manson,8476312
Josh Morrissey,8477504
Josh Norris,8480064
Josh Wilkins,8481512
Jujhar Khaira,8476915
Julien Gauthier,8479328
Julius Honka,8477945
Justin Bailey,8477473
Justin Braun,8474027
Justin Dowling,8475413
Justin Faulk,8475753
Justin Holl,8475718
Justin Kirkland,8477993
Justin Richards,8482179
Justin Schultz,8474602
Juuse Saros,8477424
Juuso Riikola,8480945
Juuso Valimaki,8479976
Kaapo Kahkonen,8478039
Kaapo Kakko,8481554
Kailer Yamamoto,8479977
Kale Clague,8479348
K'Andre Miller,8480817
Karson Kuhlman,8480901
Kasperi Kapanen,8477953
Keith Kinkaid,8476234
Keith Yandle,8471735
Kenny Agostino,8475844
Kevan Miller,8476191
Kevin Bahl,8480860
Kevin Boyle,8479294
Kevin Fiala,8477942
Kevin Hayes,8475763
Kevin Labanc,8478099
Kevin Lankinen,8480947
Kevin Mandolese,8480867
Kevin Rooney,8479291
Kevin Shattenkirk,8474031
Kevin Stenlund,8478831
Kieffer Bellows,8479356
Kirill Kaprizov,8478864
Kodie Curran,8478212
Kole Sherwood,8478949
Kris Letang,8471724
Kris Russell,8471729
Kristian Reichel,8480443
Kurtis Gabriel,8476545
Kurtis MacDermid,8477073
Kyle Capobianco,8478476
Kyle Clifford,8475160
Kyle Connor,8478398
Kyle Criscuolo,8479304
Kyle Okposo,8473449
Kyle Palmieri,8475151
Kyle Turris,8474068
Lars Eller,8474189
Lassi Thomson,8481575
Laurent Brossoit,8476316
Laurent Dauphin,8477460
Lawson Crouse,8478474
Lean Bergmann,8481640
Leo Komarov,8473463
Leon Draisaitl,8477934
Liam Foudy,8480853
Lias Andersson,8480072
Libor Hajek,8479333
Linus Sandin,8482243
Linus Ullmark,8476999
Logan Brown,8479366
Logan Couture,8474053
Logan O'Connor,8481186
Logan Thompson,8480313
Loui Eriksson,8470626
Louis Domingue,8475839
Luca Sbisa,8474579
Lucas Carlsson,8479523
Lucas Elvenes,8480044
Lucas Wallmark,8478027
Lukas Dostal,8480843
Luke Evangelista,8482146
Luke Glendening,8476822
Luke Green,8479396
Luke Prokop,8482091
Luke Schenn,8474568
Luke Witkowski,8474722
Mackenzie Blackwood,8478406
MacKenzie Entwistle,8480025
Mackenzie MacEachern,8476907
MacKenzie Weegar,8477346
Malcolm Subban,8476876
Marc Michaelis,8482063
Marc Staal,8471686
Marc-Andre Fleury,8470594
Marc-Edouard Vlasic,8471709
Marco Scandella,8474618
Marcus Foligno,8475220
Marcus Hogberg,8477405
Marcus Johansson,8475149
Marcus Pettersson,8477969
Marcus Sorensen,8475834
Mario Ferraro,8479983
Mark Alt,8475729
Mark Borowiecki,8474697
Mark Friedman,8478017
Mark Giordano,8470966
Mark Jankowski,8476873
Mark Kastelic,8480355
Mark Pysyk,8475796
Mark Scheifele,8476460
Mark Stone,8475913
Markus Niemelainen,8479338
Markus Nutivaara,8478906
Markus Phillips,8480206
Martin Frk,8476924
Martin Jones,8474889
Martin Marincin,8475716
Martin Necas,8480039
Mason Appleton,8478891
Mason Jobst,8481480
Mason Marchment,8478975
Mason Millman,8481658
Mathew Barzal,8478445
Mathias Brome,8482240
Mathias Emilio Pettersen,8481041
Mathieu Joseph,8478472
Mathieu Olivier,8479671
Mathieu Perreault,8473618
Matiss Kivlenieks,8480162
Mats Zuccarello,8475692
Matt Benning,8476988
Matt Calvert,8474685
Matt Duchene,8475168
Matt Dumba,8476856
Matt Grzelcyk,8476891
Matt Irwin,8475625
Matt Luff,8479644
Matt Murray,8476899
Matt Nieto,8476442
Matt Niskanen,8471702
Matt Roy,8478911
Matt Tennyson,8476807
Matt Villalta,8480191
Matthew Highmore,8478146
Matthew Robertson,8481525
Matthew Strome,8480017
Matthew Tkachuk,8479314
Mattias Ekholm,8475218
Mattias Janmark,8477406
Mattias Samuelsson,8480807
Max Comtois,8480031
Max Domi,8477503
Max Gildon,8480059
Max Jones,8479368
Max McCormick,8476323
Max Pacioretty,8474157
Maxim Letunov,8477983
Maxime Lajoie,8479320
Michael Amadio,8478020
Michael Carcone,8479619
Michael Dal Colle,8477936
Michael Eyssimont,8479591
Michael Frolik,8473564
Michael Hutchinson,8474636
Michael McCarron,8477446
Michael McLeod,8479415
Michael McNiven,8478933
Michael Raffl,8477290
Michal Kempny,8479482
Micheal Ferland,8475907
Micheal Haley,8474230
Mika Zibanejad,8476459
Mikael Backlund,8474150
Mikael Granlund,8475798
Mike Matheson,8476875
Mike Reilly,8476422
Mike Smith,8469608
Mikey Anderson,8479998
Mikhail Grigorenko,8476888
Mikhail Maltsev,8479573
Mikhail Sergachev,8479410
Mikko Koivu,8469459
Mikko Koskinen,8475156
Mikko Rantanen,8478420
Milan Lucic,8473473
Miles Wood,8477425
Miro Heiskanen,8480036
Mitch Eliot,8481095
Mitchell Marner,8478483
Mitchell Stephens,8478477
Mitchell Vande Sompel,8478481
Morgan Barron,8480289
Morgan Frost,8480028
Morgan Geekie,8479987
Morgan Rielly,8476853
Nate Prosser,8475613
Nate Schmidt,8477220
Nate Schnarr,8480026
Nate Thompson,8470775
Nathan Bastian,8479414
Nathan Beaulieu,8476470
Nathan Gerbe,8471804
Nathan MacKinnon,8477492
Nazem Kadri,8475172
Neal Pionk,8480145
Nic Dowd,8475343
Nic Petan,8477464
Nicholas Merkley,8478447
Nicholas Robertson,8481582
Nick Bjugstad,8475760
Nick Bonino,8474009
Nick Cousins,8476393
Nick DeSimone,8480084
Nick Foligno,8473422
Nick Holden,8474207
Nick Jensen,8475324
Nick Leddy,8475181
Nick Paul,8477426
Nick Ritchie,8477941
Nick Schmaltz,8477951
Nick Seeler,8476372
Nick Suzuki,8480018
Nicklas Backstrom,8473563
Nico Hischier,8480002
Nico Sturm,8481477
Nicolas Aube-Kubel,8477979
Nicolas Beaudin,8480814
Nicolas Deslauriers,8475235
Nicolas Meloche,8478467
Nicolas Roy,8478462
Nikita Gusev,8477038
Nikita Nesterov,8476300
Nikita Okhotiuk,8481537
Nikita Zadorov,8477507
Nikita Zaitsev,8479458
Niklas Hjalmarsson,8471769
Nikolai Knyzhov,8481812
Nikolaj Ehlers,8477940
Nils Hoglander,8481535
Nino Niederreiter,8475799
Noah Dobson,8480865
Noah Gregor,8479393
Noah Hanifin,8478396
Noah Juulsen,8478454
Noel Acciari,8478569
Nolan Foote,8481518
Oliver Bjorkstrand,8477416
Oliver Ekman-Larsson,8475171
Oliver Kylington,8478430
Oliver Wahlstrom,8480789
Olle Alsing,8481629
Olli Juolevi,8479355
Olli Maatta,8476874
Ondrej Kase,8478131
Ondrej Palat,8476292
Oscar Dansk,8476861
Oscar Klefbom,8476472
Oskar Lindblom,8478067
Oskar Sundqvist,8476897
Otto Koivula,8479526
Owen Tippett,8480015
Ozzy Wiesblatt,8482103
P.K. Subban,8474056
Par Lindholm,8480944
Parker Kelly,8480448
Parker Wotherspoon,8478450
Pascal Laberge,8479397
Pat Maroon,8474034
Patric Hornqvist,8471887
Patrice Bergeron,8470638
Patrick Bajkov,8480300
Patrick Harper,8479575
Patrick Kane,8474141
Patrick Khodorenko,8482054
Patrick Marleau,8466139
Patrick Newell,8481476
Patrick Russell,8479466
Patrik Laine,8479339
Patrik Nemeth,8475747
Paul Byron,8474038
Paul Carey,8474008
Paul Cotter,8481032
Paul LaDue,8476983
Paul Stastny,8471669
Pavel Buchnevich,8477402
Pavel Francouz,8480925
Pavel Zacha,8478401
Pekka Rinne,8471469
Petr Mrazek,8475852
Peyton Krebs,8481522
Phil Kessel,8473548
Philip Broberg,8481598
Philip Tomasino,8481577
Philipp Grubauer,8475831
Philippe Desrosiers,8477475
Philippe Myers,8479026
Phillip Danault,8476479
Phillip Di Giuseppe,8476858
Pierre Engvall,8478115
Pierre-Edouard Bellemare,8477930
Quinn Hughes,8480800
Radek Faksa,8476889
Radim Simek,8480160
Radim Zohorna,8482241
Radko Gudas,8475462
Rasmus Andersson,8478397
Rasmus Asplund,8479335
Rasmus Dahlin,8480839
Rasmus Kupari,8480845
Rasmus Ristolainen,8477499
Rasmus Sandin,8480873
Reese Johnson,8481147
Reid Duke,8478097
Reilly Smith,8475191
Reilly Walsh,8480054
Rem Pitlick,8479514
Richard Panik,8475209
Rickard Rakell,8476483
Ridly Greig,8482092
Riley Barber,8477003
Riley Nash,8474062
Riley Stillman,8479388
Riley Tufte,8479362
Robby Fabbri,8477952
Robert Bortuzzo,8474145
Robert Carpenter,8481469
Robert Hagg,8477462
Robert Thomas,8480023
Robin Lehner,8475215
Rocco Grimaldi,8476428
Roman Josi,8474600
Roope Hintz,8478449
Ross Colton,8479525
Ross Johnston,8477527
Ryan Carpenter,8477846
Ryan Donato,8477987
Ryan Dzingel,8476288
Ryan Ellis,8475176
Ryan Getzlaf,8470612
Ryan Graves,8477435
Ryan Hartman,8477451
Ryan Johansen,8475793
Ryan Lindgren,8479324
Ryan Lomberg,8479066
Ryan MacInnis,8477974
Ryan McDonagh,8474151
Ryan McLeod,8480802
Ryan Merkley,8480847
Ryan Miller,8468011
Ryan Murray,8476850
Ryan Nugent-Hopkins,8476454
Ryan O'Reilly,8475158
Ryan Poehling,8480068
Ryan Pulock,8477506
Ryan Reaves,8471817
Ryan Shea,8478854
Ryan Strome,8476458
Ryan Suter,8470600
Sam Bennett,8477935
Sam Carrick,8475842
Sam Gagner,8474040
Sam Lafferty,8478043
Sam Montembeault,8478470
Sam Reinhart,8477933
Sam Steel,8479351
Sami Niku,8478915
Sammy Blais,8478104
Samuel Bolduc,8481541
Samuel Fagemo,8481239
Samuel Girard,8479398
Samuel Morin,8477502
Scott Harrington,8476449
Scott Laughton,8476872
Scott Mayfield,8476429
Scott Wedgewood,8475809
Scott Wilson,8476293
Sean Couturier,8476461
Sean Day,8479413
Sean Durzi,8480434
Sean Kuraly,8476374
Sean Malone,8477391
Sean Monahan,8477497
Sean Walker,8480336
Sebastian Aho,8480222
Sebastian Aho,8478427
Semyon Varlamov,8473575
Sergei Bobrovsky,8475683
Serron Noel,8480856
Seth Griffith,8476495
Seth Jarvis,8482093
Seth Jones,8477495
Shane Bowers,8480032
Shayne Gostisbehere,8476906
Shea Theodore,8477447
Shea Weber,8470642
Sheldon Dries,8480326
Sheldon Rempal,8480776
Sidney Crosby,8471675
Simon Benoit,8481122
Slater Koekkoek,8476886
Sonny Milano,8477947
Spencer Martin,8477484
Spencer Smallman,8478867
Stefan Matteau,8476870
Stefan Noesen,8476474
Stelio Mattheos,8479989
Stephen Johns,8475730
Steven Fogarty,8476396
Steven Lorentz,8478904
Steven Stamkos,8474564
Stuart Skinner,8479973
T.J. Oshie,8471698
T.J. Tynan,8476391
Tage Thompson,8479420
Tanner Jeannot,8479661
Tanner Kero,8478528
Tanner Laczynski,8479550
Tanner Pearson,8476871
Taylor Fedun,8476166
Taylor Hall,8475791
Taylor Raddysh,8479390
Teddy Blueger,8476927
Teemu Kivihalme,8477372
Teuvo Teravainen,8476882
Thatcher Demko,8477967
Theodor Lennstrom,8482242
Thomas Chabot,8478469
Thomas Greiss,8471306
Thomas Hickey,8474066
Thomas Novak,8478438
Tim Gettinger,8479364
Timo Meier,8478414
TJ Brodie,8474673
Tobias Rieder,8476356
Tom Wilson,8476880
Tomas Hertl,8476881
Tomas Jurco,8476430
Tomas Nosek,8477931
Tomas Tatar,8475193
Tommy Cross,8474019
Tony DeAngelo,8477950
Torey Krug,8476792
Travis Boyd,8476329
Travis Dermott,8478408
Travis Konecny,8478439
Travis Sanheim,8477948
Travis Zajac,8471233
Trent Frederic,8479365
Trevor Carrick,8476953
Trevor Moore,8479675
Trevor van Riemsdyk,8477845
Trey Fix-Wolansky,8480441
Tristan Jarry,8477465
Troy Grosenick,8477234
Troy Stecher,8479442
Troy Terry,8478873
Tucker Poolman,8477359
Tuukka Rask,8471695
Ty Dellandrea,8480848
Ty Ronning,8479317
Ty Smith,8480883
Tye Felhaber,8479746
Tyler Benson,8479347
Tyler Bertuzzi,8477479
Tyler Bozak,8475098
Tyler Ennis,8474589
Tyler Johnson,8474870
Tyler Lewington,8477343
Tyler Madden,8480805
Tyler Motte,8477353
Tyler Myers,8474574
Tyler Pitlick,8475752
Tyler Seguin,8475794
Tyler Toffoli,8475726
Tyler Wotherspoon,8476452
Tyrell Goulbourne,8477399
Tyson Barrie,8475197
Tyson Foerster,8482159
Tyson Jost,8479370
Valeri Nichushkin,8477501
Valtteri Filppula,8470047
Vasili Demchenko,8482239
Victor Hedman,8475167
Victor Mete,8479376
Victor Olofsson,8478109
Victor Rask,8476437
Viktor Arvidsson,8478042
Ville Husso,8478024
Vince Dunn,8478407
Vincent Trocheck,8476389
Vinni Lettieri,8479968
Vinnie Hinostroza,8476994
Vitaly Abramov,8479411
Vladimir Tarasenko,8475765
Vladislav Gavrikov,8478882
Vladislav Namestnikov,8476480
Wade Allison,8479322
Warren Foegele,8477998
Wayne Simmonds,8474190
Will Butcher,8477355
William Borgen,8478840
William Carrier,8477478
William Karlsson,8476448
William Lagesson,8478021
William Lockwood,8479367
William Nylander,8477939
William Reilly,8480278
Wyatt Kalynuk,8480293
Wyatte Wylie,8480984
Xavier Ouellet,8476443
Yakov Trenin,8478508
Yanni Gourde,8476826
Yegor Sharangovich,8481068
Zac Rinaldo,8474736
Zach Aston-Reese,8479944
Zach Bogosian,8474567
Zach Gallant,8480016
Zach Hyman,8475786
Zach Parise,8470610
Zach Sanford,8477482
Zach Senyshyn,8478485
Zach Werenski,8478460
Zach Whitecloud,8480727
Zachary Magwood,8481124
Zack Kassian,8475178
Zack MacEwen,8479772
Zack Smith,8474250
Zayde Wisdom,8482161
Zemgus Girgensons,8476878
